Слово			повторения	код
aaa			3		1
aab			3		2
aac			3		3
aad			3		4
aae			3		5
aaf			3		6
aag			3		7
aah			3		8
aai			3		9
aaj			3		10
aak			3		11
aal			3		12
aam			3		13
aan			3		14
aao			3		15
aap			3		16
aaq			3		17
aar			3		18
aas			3		19
aat			3		20
aau			3		21
aav			3		22
aaw			3		23
aax			3		24
aay			3		25
aaz			3		27
aba			3		28
abb			3		29
abc			3		30
abd			3		31
abe			3		32
abf			3		33
abg			3		34
abh			3		36
abi			3		37
abj			3		38
abk			3		39
abl			3		40
abm			3		41
abn			3		42
abo			3		43
abp			3		44
abq			3		45
abr			3		46
abs			3		47
abt			3		48
abu			3		49
abv			3		50
abw			3		51
abx			3		52
aby			3		53
abz			3		54
aca			3		55
acb			3		56
acc			3		57
acd			3		58
ace			3		59
acf			3		60
acg			3		61
ach			3		62
aci			3		63
acj			3		64
ack			3		65
acl			3		66
acm			3		67
acn			3		68
aco			3		69
acp			3		70
acq			3		71
acr			3		72
acs			3		73
act			3		74
acu			3		75
acv			3		76
acw			3		77
acx			3		78
acy			3		79
acz			3		80
ada			3		81
adb			3		82
adc			3		83
add			3		84
ade			3		85
adf			3		86
adg			3		87
adh			3		88
adi			3		89
adj			3		90
adk			3		91
adl			3		92
adm			3		93
adn			3		94
ado			3		95
adp			3		96
adq			3		97
adr			3		98
ads			3		99
adt			3		100
adu			3		101
adv			3		102
adw			3		103
adx			3		104
ady			3		105
adz			3		106
aea			3		107
aeb			3		108
aec			3		109
aed			3		110
aee			3		111
aef			3		112
aeg			3		113
aeh			3		114
aei			3		115
aej			3		116
aek			3		117
ael			3		118
aem			3		119
aen			3		120
aeo			3		121
aep			3		122
aeq			3		123
aer			3		124
aes			3		125
aet			3		126
aeu			3		127
aev			3		128
aew			3		129
aex			3		130
aey			3		131
aez			3		132
afa			3		133
afb			3		134
afc			3		135
afd			3		136
afe			3		137
aff			3		138
afg			3		139
afh			3		140
afi			3		141
afj			3		142
afk			3		143
afl			3		144
afm			3		145
afn			3		146
afo			3		147
afp			3		148
afq			3		149
afr			3		150
afs			3		151
aft			3		152
afu			3		153
afv			3		154
afw			3		155
afx			3		156
afy			3		157
afz			3		158
aga			3		159
agb			3		160
agc			3		161
agd			3		162
age			3		163
agf			3		164
agg			3		165
agh			3		166
agi			3		167
agj			3		168
agk			3		169
agl			3		170
agm			3		171
agn			3		172
ago			3		173
agp			3		174
agq			3		175
agr			3		176
ags			3		177
agt			3		178
agu			3		179
agv			3		180
agw			3		181
agx			3		182
agy			3		183
agz			3		184
aha			3		185
ahb			3		186
ahc			3		187
ahd			3		188
ahe			3		189
ahf			3		190
ahg			3		191
ahh			3		192
ahi			3		193
ahj			3		194
ahk			3		195
ahl			3		196
ahm			3		197
ahn			3		198
aho			3		199
ahp			3		200
ahq			3		201
ahr			3		202
ahs			3		203
aht			3		204
ahu			3		205
ahv			3		206
ahw			3		207
ahx			3		208
ahy			3		209
ahz			3		210
aia			3		211
aib			3		212
aic			3		213
aid			3		214
aie			3		215
aif			3		216
aig			3		217
aih			3		218
aii			3		219
aij			3		220
aik			3		221
ail			3		222
aim			3		223
ain			3		224
aio			3		225
aip			3		226
aiq			3		227
air			3		228
ais			3		229
ait			3		230
aiu			3		231
aiv			3		232
aiw			3		233
aix			3		234
aiy			3		235
aiz			3		236
aja			3		237
ajb			3		238
ajc			3		239
ajd			3		240
aje			3		241
ajf			3		242
ajg			3		243
ajh			3		244
aji			3		245
ajj			3		246
ajk			3		247
ajl			3		248
ajm			3		249
ajn			3		250
ajo			3		251
ajp			3		252
ajq			3		253
ajr			3		254
ajs			3		255
ajt			3		256
aju			3		257
ajv			3		258
ajw			3		259
ajx			3		260
ajy			3		261
ajz			3		262
aka			3		263
akb			3		264
akc			3		265
akd			3		266
ake			3		267
akf			3		268
akg			3		269
akh			3		270
aki			3		271
akj			3		272
akk			3		273
akl			3		274
akm			3		275
akn			3		276
ako			3		277
akp			3		278
akq			3		279
akr			3		280
aks			3		282
akt			3		283
aku			3		284
akv			3		285
akw			3		286
akx			3		287
aky			3		288
akz			3		289
